2015-05-18 8:08:37 - PHP Warning:  require_once(/var/www/html/quickmusic/system/helper/quickTool): failed to open stream: No such file or directory in /var/www/html/quickmusic/catalog/controller/app/search.php on line 2
2015-05-18 8:09:05 - PHP Warning:  require_once(/var/www/html/quickmusic/system/helper/quickTool): failed to open stream: No such file or directory in /var/www/html/quickmusic/catalog/controller/app/search.php on line 2
2015-05-18 8:10:26 - PHP Warning:  require_once(/var/www/html/quickmusic/system/helper/quickTool): failed to open stream: No such file or directory in /var/www/html/quickmusic/catalog/controller/app/search.php on line 2
2015-05-18 8:55:40 - PHP Unknown:  Argument 1 passed to DOMXPath::__construct() must be an instance of DOMDocument, instance of DOMElement given, called in /var/www/html/quickmusic/system/helper/quickTool.php on line 98 and defined in /var/www/html/quickmusic/system/helper/quickTool.php on line 55
2015-05-18 9:21:56 - PHP Warning:  DOMXPath::query(): xmlXPathCompOpEval: function first not found in /var/www/html/quickmusic/system/helper/quickTool.php on line 60
2015-05-18 9:21:56 - PHP Warning:  DOMXPath::query(): Unregistered function in /var/www/html/quickmusic/system/helper/quickTool.php on line 60
2015-05-18 9:21:56 - PHP Warning:  DOMXPath::query(): Invalid expression in /var/www/html/quickmusic/system/helper/quickTool.php on line 60
2015-05-18 9:21:56 - PHP Warning:  DOMXPath::query(): Stack usage errror in /var/www/html/quickmusic/system/helper/quickTool.php on line 60
2015-05-18 9:22:48 - PHP Warning:  DOMXPath::query(): xmlXPathCompOpEval: function first not found in /var/www/html/quickmusic/system/helper/quickTool.php on line 60
2015-05-18 9:22:48 - PHP Warning:  DOMXPath::query(): Unregistered function in /var/www/html/quickmusic/system/helper/quickTool.php on line 60
2015-05-18 9:22:48 - PHP Warning:  DOMXPath::query(): Invalid expression in /var/www/html/quickmusic/system/helper/quickTool.php on line 60
2015-05-18 9:22:48 - PHP Warning:  DOMXPath::query(): Stack usage errror in /var/www/html/quickmusic/system/helper/quickTool.php on line 60
2015-05-18 11:11:07 - PHP Notice:  Undefined variable: musicDomain in /var/www/html/quickmusic/system/helper/quickTool.php on line 52
2015-05-20 5:59:15 - PHP Notice:  Array to string conversion in /var/www/html/quickmusic/system/helper/quickTool.php on line 79
2015-05-20 5:59:58 - PHP Notice:  Array to string conversion in /var/www/html/quickmusic/system/helper/quickTool.php on line 79
2015-05-20 6:00:14 - PHP Notice:  Array to string conversion in /var/www/html/quickmusic/system/helper/quickTool.php on line 79
2015-05-20 6:00:24 - PHP Notice:  Array to string conversion in /var/www/html/quickmusic/system/helper/quickTool.php on line 79
2015-05-20 6:02:08 - PHP Notice:  Array to string conversion in /var/www/html/quickmusic/system/helper/quickTool.php on line 79
2015-05-20 6:03:01 - PHP Notice:  Array to string conversion in /var/www/html/quickmusic/system/helper/quickTool.php on line 79
2015-05-20 6:22:45 - PHP Notice:  Array to string conversion in /var/www/html/quickmusic/system/helper/quickTool.php on line 79
2015-05-20 6:22:49 - PHP Notice:  Array to string conversion in /var/www/html/quickmusic/system/helper/quickTool.php on line 79
